Time	SWR_O0
19.10.2018 19:00:30	-2.904
19.10.2018 19:00:45	-2.904
19.10.2018 19:01:00	-2.794
19.10.2018 19:01:15	-2.725
19.10.2018 19:01:30	-2.904
19.10.2018 19:01:45	-2.807
19.10.2018 19:02:00	-2.628
19.10.2018 19:02:15	-2.489
19.10.2018 19:02:30	-2.489
19.10.2018 19:02:45	-2.504
19.10.2018 19:03:00	-2.655
19.10.2018 19:03:15	-2.683
19.10.2018 19:03:30	-2.697
19.10.2018 19:03:45	-2.765
19.10.2018 19:04:00	-2.904
19.10.2018 19:04:15	-2.904
19.10.2018 19:04:30	-2.725
19.10.2018 19:04:45	-2.697
19.10.2018 19:05:00	-2.697
19.10.2018 19:05:15	-2.697
19.10.2018 19:05:30	-2.697
19.10.2018 19:05:45	-2.504
19.10.2018 19:06:00	-2.434
19.10.2018 19:06:15	-2.283
19.10.2018 19:06:30	-2.283
19.10.2018 19:06:45	-2.310
19.10.2018 19:07:00	-2.489
19.10.2018 19:07:15	-2.489
19.10.2018 19:07:30	-2.489
19.10.2018 19:07:45	-2.489
19.10.2018 19:08:00	-2.531
19.10.2018 19:08:15	-2.586
19.10.2018 19:08:30	-2.489
19.10.2018 19:08:45	-2.476
19.10.2018 19:09:00	-2.283
19.10.2018 19:09:15	-2.283
19.10.2018 19:09:30	-2.296
19.10.2018 19:09:45	-2.283
19.10.2018 19:10:00	-2.476
19.10.2018 19:10:15	-2.489
19.10.2018 19:10:30	-2.489
19.10.2018 19:10:45	-2.489
19.10.2018 19:11:00	-2.489
19.10.2018 19:11:15	-2.489
19.10.2018 19:11:30	-2.420
19.10.2018 19:11:45	-2.448
19.10.2018 19:12:00	-2.489
19.10.2018 19:12:15	-2.379
19.10.2018 19:12:30	-2.283
19.10.2018 19:12:45	-2.283
19.10.2018 19:13:00	-2.283
19.10.2018 19:13:15	-2.283
19.10.2018 19:13:30	-2.075
19.10.2018 19:13:45	-2.089
19.10.2018 19:14:00	-2.241
19.10.2018 19:14:15	-2.283
19.10.2018 19:14:30	-2.283
19.10.2018 19:14:45	-2.283
19.10.2018 19:15:00	-2.283
19.10.2018 19:15:15	-2.283
19.10.2018 19:15:30	-2.283
19.10.2018 19:15:45	-2.283
19.10.2018 19:16:00	-2.283
19.10.2018 19:16:15	-2.283
19.10.2018 19:16:30	-2.283
19.10.2018 19:16:45	-2.283
19.10.2018 19:17:00	-2.393
19.10.2018 19:17:15	-2.655
19.10.2018 19:17:30	-2.697
19.10.2018 19:17:45	-2.710
19.10.2018 19:18:00	-2.697
19.10.2018 19:18:15	-2.710
19.10.2018 19:18:30	-2.891
19.10.2018 19:18:45	-2.863
19.10.2018 19:19:00	-2.697
19.10.2018 19:19:15	-2.697
19.10.2018 19:19:30	-2.697
19.10.2018 19:19:45	-2.697
19.10.2018 19:20:00	-2.517
19.10.2018 19:20:15	-2.544
19.10.2018 19:20:30	-2.697
19.10.2018 19:20:45	-2.697
19.10.2018 19:21:00	-2.697
19.10.2018 19:21:15	-2.752
19.10.2018 19:21:30	-2.904
19.10.2018 19:21:45	-2.752
19.10.2018 19:22:00	-2.710
19.10.2018 19:22:15	-2.697
19.10.2018 19:22:30	-2.697
19.10.2018 19:22:45	-2.697
19.10.2018 19:23:00	-2.725
19.10.2018 19:23:15	-2.904
19.10.2018 19:23:30	-2.904
19.10.2018 19:23:45	-3.029
19.10.2018 19:24:00	-2.946
19.10.2018 19:24:15	-2.904
19.10.2018 19:24:30	-2.904
19.10.2018 19:24:45	-2.904
19.10.2018 19:25:00	-2.904
19.10.2018 19:25:15	-2.904
19.10.2018 19:25:30	-2.904
19.10.2018 19:25:45	-2.904
19.10.2018 19:26:00	-2.752
19.10.2018 19:26:15	-2.517
19.10.2018 19:26:30	-2.559
