Time	SWR_F5
19.10.2018 20:37:30	-2.094
19.10.2018 20:37:45	-2.094
19.10.2018 20:38:00	-2.094
19.10.2018 20:38:15	-2.094
19.10.2018 20:38:30	-2.094
19.10.2018 20:38:45	-2.268
19.10.2018 20:39:00	-2.094
19.10.2018 20:39:15	-2.094
19.10.2018 20:39:30	-2.094
19.10.2018 20:39:45	-2.094
19.10.2018 20:40:00	-2.094
19.10.2018 20:40:15	-2.268
19.10.2018 20:40:30	-2.094
19.10.2018 20:40:45	-2.268
19.10.2018 20:41:00	-2.268
19.10.2018 20:41:15	-2.268
19.10.2018 20:41:30	-2.268
19.10.2018 20:41:45	-2.268
19.10.2018 20:42:00	-2.268
19.10.2018 20:42:15	-2.268
19.10.2018 20:42:30	-2.268
19.10.2018 20:42:45	-2.268
19.10.2018 20:43:00	-2.268
19.10.2018 20:43:15	-2.268
19.10.2018 20:43:30	-2.094
19.10.2018 20:43:45	-2.094
19.10.2018 20:44:00	-2.094
19.10.2018 20:44:15	-2.268
19.10.2018 20:44:30	-2.094
19.10.2018 20:44:45	-2.094
19.10.2018 20:45:00	-2.094
19.10.2018 20:45:15	-2.094
19.10.2018 20:45:30	-2.094
19.10.2018 20:45:45	-2.094
19.10.2018 20:46:00	-2.094
19.10.2018 20:46:15	-2.094
19.10.2018 20:46:30	-2.094
19.10.2018 20:46:45	-2.094
19.10.2018 20:47:00	-2.094
19.10.2018 20:47:15	-2.094
19.10.2018 20:47:30	-2.094
19.10.2018 20:47:45	-2.094
19.10.2018 20:48:00	-2.268
19.10.2018 20:48:15	-2.268
19.10.2018 20:48:30	-2.268
19.10.2018 20:48:45	-2.268
19.10.2018 20:49:00	-2.268
19.10.2018 20:49:15	-2.268
19.10.2018 20:49:30	-2.268
19.10.2018 20:49:45	-2.268
19.10.2018 20:50:00	-2.268
19.10.2018 20:50:15	-2.268
19.10.2018 20:50:30	-2.268
19.10.2018 20:50:45	-2.268
19.10.2018 20:51:00	-2.268
19.10.2018 20:51:15	-2.268
19.10.2018 20:51:30	-2.268
19.10.2018 20:51:45	-2.268
19.10.2018 20:52:00	-2.268
19.10.2018 20:52:15	-2.268
19.10.2018 20:52:30	-2.268
19.10.2018 20:52:45	-2.268
19.10.2018 20:53:00	-2.268
19.10.2018 20:53:15	-2.268
19.10.2018 20:53:30	-2.268
19.10.2018 20:53:45	-2.268
19.10.2018 20:54:00	-2.268
19.10.2018 20:54:15	-2.268
19.10.2018 20:54:30	-2.268
19.10.2018 20:54:45	-2.268
19.10.2018 20:55:00	-2.268
19.10.2018 20:55:15	-2.268
19.10.2018 20:55:30	-2.093
19.10.2018 20:55:45	-2.093
19.10.2018 20:56:00	-2.093
19.10.2018 20:56:15	-2.093
19.10.2018 20:56:30	-2.093
19.10.2018 20:56:45	-2.093
19.10.2018 20:57:00	-2.093
19.10.2018 20:57:15	-2.093
19.10.2018 20:57:30	-2.093
19.10.2018 20:57:45	-2.093
19.10.2018 20:58:00	-2.093
